FID,Id,DAY,Shape__Area,Shape__Length
1,1,MONDAY,30182044.4492188,29298.5758396963
2,2,WEDNESDAY,19160930.28125,27430.8600360216
3,3,TUESDAY,29123142.3984375,33000.7242561593
4,4,THURSDAY,27275876.96875,28376.1882044812
5,5,THURSDAY,9639097.28515625,18748.7656253262
6,6,THURSDAY,19043356.328125,25873.464198339
7,7,TUESDAY,22846330.3828125,29954.1655108046
8,8,MONDAY,2621851.21484375,8086.39823102464
9,8,MONDAY,951106.80078125,3925.53431123421
10,9,WEDNESDAY,23966670.6953125,24978.4083915084
11,8,MONDAY,22511596.7695313,23460.7423185127
12,10,MONDAY,21718862.2070313,23243.5297138211
13,11,THURSDAY,42389459.5,28738.548284004
14,12,TUESDAY,21898854.625,20870.2443515097
15,13,MONDAY,46101414.7734375,50186.8108066091
16,14,WEDNESDAY,81008843.65625,54825.0242624097
17,8,MONDAY,410636.87890625,3224.2764060242
